date,product,region,units_sold,revenue,cost
2025-01-01,Widget A,North,150,4500.00,2250.00
2025-01-01,Widget A,South,200,6000.00,3000.00
2025-01-01,Widget B,North,80,3200.00,1760.00
2025-01-01,Widget B,South,120,4800.00,2640.00
2025-01-01,Widget C,North,50,2500.00,1500.00
2025-01-01,Widget C,South,90,4500.00,2700.00
2025-02-01,Widget A,North,170,5100.00,2550.00
2025-02-01,Widget A,South,180,5400.00,2700.00
2025-02-01,Widget B,North,95,3800.00,2090.00
2025-02-01,Widget B,South,110,4400.00,2420.00
2025-02-01,Widget C,North,65,3250.00,1950.00
2025-02-01,Widget C,South,85,4250.00,2550.00
2025-03-01,Widget A,North,190,5700.00,2850.00
2025-03-01,Widget A,South,220,6600.00,3300.00
2025-03-01,Widget B,North,100,4000.00,2200.00
2025-03-01,Widget B,South,140,5600.00,3080.00
2025-03-01,Widget C,North,70,3500.00,2100.00
2025-03-01,Widget C,South,110,5500.00,3300.00
2025-04-01,Widget A,North,160,4800.00,2400.00
2025-04-01,Widget A,South,210,6300.00,3150.00
2025-04-01,Widget B,North,85,3400.00,1870.00
2025-04-01,Widget B,South,130,5200.00,2860.00
2025-04-01,Widget C,North,75,3750.00,2250.00
2025-04-01,Widget C,South,100,5000.00,3000.00
2025-05-01,Widget A,North,200,6000.00,3000.00
2025-05-01,Widget A,South,240,7200.00,3600.00
2025-05-01,Widget B,North,110,4400.00,2420.00
2025-05-01,Widget B,South,150,6000.00,3300.00
2025-05-01,Widget C,North,80,4000.00,2400.00
2025-05-01,Widget C,South,120,6000.00,3600.00
2025-06-01,Widget A,North,180,5400.00,2700.00
2025-06-01,Widget A,South,195,5850.00,2925.00
2025-06-01,Widget B,North,90,3600.00,1980.00
2025-06-01,Widget B,South,135,5400.00,2970.00
2025-06-01,Widget C,North,60,3000.00,1800.00
2025-06-01,Widget C,South,95,4750.00,2850.00
